"Model";"Capreolus capreolus";"Meles meles";"Procyon lotor";"Sus scrofa";"Vulpes vulpes";"Felis silvestris";"Martes"
"Model1";970,579458206155;641,768572266;961,195603621129;661,7122701055;973,946381605313;71,3335806647696;558,780680502825
"Model2";972,222741413111;643,745457285185;960,096660307429;659,825400048156;975,667432278896;73,2363126869975;560,78044243951
"Model3";972,013771833942;642,16542868089;960,098851153195;655,922727038323;975,471789881255;73,3300232866451;560,766379115345
"Model4";973,583970376592;644,16556108313;959,602541277755;654,152807131989;977,271020768773;75,2275264854858;562,758522639652
"Model5";975,414297629484;645,147900664634;961,457747146434;655,441868595879;978,074919861163;77,1463518795497;562,935937307773
"Model6";974,692851732893;646,143771967218;960,116882207809;655,347984895308;977,768251558987;76,8505319558532;564,43262072962
"Model7";972,841161301143;647,066247399003;962,071819793106;656,922891821256;978,985292156607;71,9191943506333;564,295827851467
